activity_id,song_id,listen_date,listen_duration
1,12,2023-06-27 10:15:47.008867,69
2,44,2023-06-27 10:15:47.008867,300
3,75,2023-06-27 10:15:47.008867,73
4,48,2023-06-27 10:15:47.008867,105
5,10,2023-06-27 10:15:47.008867,229
6,82,2023-06-27 10:15:47.008867,35
7,64,2023-06-27 10:15:47.008867,249
8,96,2023-06-27 10:15:47.008867,211
9,52,2023-06-27 10:15:47.008867,99
10,21,2023-06-27 10:15:47.008867,181
11,4,2023-06-27 10:15:47.008867,175
12,6,2023-06-27 10:15:47.008867,244
13,90,2023-06-27 10:15:47.008867,129
14,33,2023-06-27 10:15:47.008867,260
15,8,2023-06-27 10:15:47.008867,161
16,93,2023-06-27 10:15:47.008867,141
17,69,2023-06-27 10:15:47.008867,162
18,97,2023-06-27 10:15:47.008867,275
19,13,2023-06-27 10:15:47.008867,60
20,92,2023-06-27 10:15:47.008867,134
21,79,2023-06-27 10:15:47.008867,124
22,2,2023-06-27 10:15:47.008867,187
23,42,2023-06-27 10:15:47.008867,84
24,9,2023-06-27 10:15:47.008867,42
25,59,2023-06-27 10:15:47.008867,134
26,90,2023-06-27 10:15:47.008867,57
27,74,2023-06-27 10:15:47.008867,227
28,23,2023-06-27 10:15:47.008867,196
29,95,2023-06-27 10:15:47.008867,202
30,38,2023-06-27 10:15:47.008867,250
31,39,2023-06-27 10:15:47.008867,193
32,34,2023-06-27 10:15:47.008867,96
33,2,2023-06-27 10:15:47.008867,67
34,31,2023-06-27 10:15:47.008867,285
35,58,2023-06-27 10:15:47.008867,252
36,8,2023-06-27 10:15:47.008867,289
37,58,2023-06-27 10:15:47.008867,218
38,33,2023-06-27 10:15:47.008867,195
39,37,2023-06-27 10:15:47.008867,189
40,91,2023-06-27 10:15:47.008867,295
41,4,2023-06-27 10:15:47.008867,262
42,1,2023-07-14 10:15:47.009030,216
43,45,2023-07-14 10:15:47.009030,220
44,75,2023-07-14 10:15:47.009030,110
45,30,2023-07-14 10:15:47.009030,228
46,1,2023-07-14 10:15:47.009030,155
47,85,2023-07-14 10:15:47.009030,45
48,89,2023-07-14 10:15:47.009030,298
49,69,2023-07-14 10:15:47.009030,187
50,64,2023-07-14 10:15:47.009030,133
51,71,2023-07-14 10:15:47.009030,94
52,90,2023-07-14 10:15:47.009030,36
53,47,2023-07-14 10:15:47.009030,195
54,82,2023-07-14 10:15:47.009030,44
55,91,2023-07-14 10:15:47.009030,183
56,46,2023-07-14 10:15:47.009030,283
57,18,2023-07-14 10:15:47.009030,252
58,28,2023-07-14 10:15:47.009030,41
59,96,2023-07-14 10:15:47.009030,235
60,1,2023-07-14 10:15:47.009030,80
61,68,2023-07-14 10:15:47.009030,83
62,93,2023-07-14 10:15:47.009030,51
63,56,2023-07-14 10:15:47.009030,113
64,2,2023-07-14 10:15:47.009030,132
65,89,2023-07-14 10:15:47.009030,131
66,59,2023-07-14 10:15:47.009030,98
67,63,2023-07-14 10:15:47.009030,96
68,83,2023-07-14 10:15:47.009030,46
69,28,2023-07-14 10:15:47.009030,127
70,56,2023-07-14 10:15:47.009030,51
71,16,2023-07-14 10:15:47.009030,267
72,17,2023-07-14 10:15:47.009030,42
73,52,2023-07-14 10:15:47.009030,75
74,57,2023-07-14 10:15:47.009030,115
75,3,2023-07-14 10:15:47.009030,174
76,9,2023-07-14 10:15:47.009030,277
77,67,2023-07-14 10:15:47.009030,250
78,64,2023-07-14 10:15:47.009030,45
79,92,2023-07-14 10:15:47.009030,105
80,37,2023-07-14 10:15:47.009030,221
81,45,2023-07-14 10:15:47.009030,178
82,26,2023-07-14 10:15:47.009030,113
83,1,2023-07-14 10:15:47.009030,117
84,49,2023-07-14 10:15:47.009030,271
85,1,2023-07-14 10:15:47.009030,94
86,56,2023-07-14 10:15:47.009030,198
87,3,2023-07-14 10:15:47.009030,238
88,72,2023-07-14 10:15:47.009030,235
89,14,2023-07-14 10:15:47.009030,34
90,39,2023-07-14 10:15:47.009030,62
91,100,2023-07-14 10:15:47.009030,80
92,36,2023-07-14 10:15:47.009030,158
93,1,2023-07-14 10:15:47.009030,271
94,69,2023-07-14 10:15:47.009030,284
95,16,2023-07-14 10:15:47.009030,41
96,27,2023-07-14 10:15:47.009030,263
97,37,2023-07-14 10:15:47.009030,226
98,34,2023-07-14 10:15:47.009030,231
99,82,2023-07-14 10:15:47.009030,53
100,36,2023-07-14 10:15:47.009030,105
101,80,2023-07-14 10:15:47.009030,135
102,92,2023-07-14 10:15:47.009030,39
103,30,2023-07-14 10:15:47.009030,227
104,22,2023-07-14 10:15:47.009030,47
105,50,2023-07-14 10:15:47.009030,133
106,66,2023-07-14 10:15:47.009030,199
107,25,2023-07-14 10:15:47.009030,41
108,2,2023-07-14 10:15:47.009030,76
109,91,2023-07-14 10:15:47.009030,154
110,23,2023-11-07 10:15:47.009261,37
111,95,2023-11-07 10:15:47.009261,132
112,74,2023-11-07 10:15:47.009261,154
113,88,2023-11-07 10:15:47.009261,135
114,64,2023-11-07 10:15:47.009261,237
115,89,2023-11-07 10:15:47.009261,82
116,77,2023-11-07 10:15:47.009261,245
117,70,2023-11-07 10:15:47.009261,135
118,93,2023-11-07 10:15:47.009261,263
119,74,2023-11-07 10:15:47.009261,210
120,51,2023-11-07 10:15:47.009261,248
121,61,2023-11-07 10:15:47.009261,168
122,7,2023-11-07 10:15:47.009261,132
123,86,2023-11-07 10:15:47.009261,121
124,93,2023-11-07 10:15:47.009261,164
125,44,2023-11-07 10:15:47.009261,164
126,56,2023-11-07 10:15:47.009261,195
127,59,2023-11-07 10:15:47.009261,245
128,61,2023-11-07 10:15:47.009261,55
129,12,2023-11-07 10:15:47.009261,50
130,84,2023-11-07 10:15:47.009261,101
131,45,2023-11-07 10:15:47.009261,257
132,70,2023-11-07 10:15:47.009261,218
133,65,2023-11-07 10:15:47.009261,38
134,50,2023-11-07 10:15:47.009261,245
135,74,2023-11-07 10:15:47.009261,284
136,70,2023-11-07 10:15:47.009261,61
137,86,2023-11-07 10:15:47.009261,112
138,86,2023-11-07 10:15:47.009261,225
139,76,2023-11-07 10:15:47.009261,51
140,59,2023-11-07 10:15:47.009261,297
141,100,2023-11-07 10:15:47.009261,176
142,89,2023-11-07 10:15:47.009261,272
143,30,2023-11-07 10:15:47.009261,282
144,25,2023-11-07 10:15:47.009261,299
145,34,2023-11-07 10:15:47.009261,108
146,42,2023-11-07 10:15:47.009261,262
147,96,2023-11-07 10:15:47.009261,178
148,6,2023-11-07 10:15:47.009261,122
149,84,2023-11-07 10:15:47.009261,235
150,98,2023-11-07 10:15:47.009261,145
151,21,2023-11-07 10:15:47.009261,148
152,9,2023-11-07 10:15:47.009261,203
153,8,2023-11-07 10:15:47.009261,168
154,22,2023-11-07 10:15:47.009261,170
155,17,2023-11-07 10:15:47.009261,126
156,49,2023-11-07 10:15:47.009261,152
157,30,2023-11-07 10:15:47.009261,115
158,30,2023-07-08 10:15:47.009483,91
159,13,2023-07-08 10:15:47.009483,47
160,29,2023-07-08 10:15:47.009483,196
161,25,2023-07-08 10:15:47.009483,207
162,1,2023-07-08 10:15:47.009483,252
163,62,2023-07-08 10:15:47.009483,65
164,16,2023-07-08 10:15:47.009483,300
165,34,2023-07-08 10:15:47.009483,60
166,17,2023-07-08 10:15:47.009483,219
167,89,2023-07-08 10:15:47.009483,248
168,61,2023-07-08 10:15:47.009483,163
169,21,2023-07-08 10:15:47.009483,283
170,40,2023-07-08 10:15:47.009483,44
171,95,2023-07-08 10:15:47.009483,169
172,68,2023-07-08 10:15:47.009483,280
173,37,2023-07-08 10:15:47.009483,32
174,47,2023-07-08 10:15:47.009483,282
175,43,2023-07-08 10:15:47.009483,189
176,68,2023-07-08 10:15:47.009483,107
177,29,2023-07-08 10:15:47.009483,112
178,86,2023-07-08 10:15:47.009483,91
179,26,2023-07-08 10:15:47.009483,84
180,2,2023-07-08 10:15:47.009483,218
181,19,2023-05-06 10:15:47.009535,280
182,10,2023-05-06 10:15:47.009535,36
183,56,2023-05-06 10:15:47.009535,212
184,42,2023-05-06 10:15:47.009535,194
185,13,2023-05-06 10:15:47.009535,274
186,8,2023-05-06 10:15:47.009535,106
187,95,2023-05-06 10:15:47.009535,224
188,77,2023-05-06 10:15:47.009535,256
189,49,2023-05-06 10:15:47.009535,204
190,29,2023-05-06 10:15:47.009535,99
191,35,2023-05-06 10:15:47.009535,88
192,69,2023-05-06 10:15:47.009535,244
193,29,2023-05-06 10:15:47.009535,39
194,37,2023-05-06 10:15:47.009535,82
195,60,2023-05-06 10:15:47.009535,91
196,9,2023-05-06 10:15:47.009535,174
197,25,2023-05-06 10:15:47.009535,289
198,37,2023-05-06 10:15:47.009535,226
199,78,2023-05-06 10:15:47.009535,56
200,75,2023-05-06 10:15:47.009535,209
201,51,2023-05-06 10:15:47.009535,63
202,87,2023-05-06 10:15:47.009535,68
203,61,2023-05-06 10:15:47.009535,109
204,30,2023-05-06 10:15:47.009535,152
205,29,2023-05-06 10:15:47.009535,296
206,75,2023-05-06 10:15:47.009535,170
207,5,2023-05-06 10:15:47.009535,151
208,23,2023-05-06 10:15:47.009535,158
209,65,2023-05-06 10:15:47.009535,288
210,34,2023-05-06 10:15:47.009535,62
211,100,2023-05-06 10:15:47.009535,260
212,69,2023-05-06 10:15:47.009535,208
213,53,2023-05-06 10:15:47.009535,182
214,50,2023-05-06 10:15:47.009535,204
215,12,2023-05-06 10:15:47.009535,145
216,69,2023-05-06 10:15:47.009535,254
217,16,2023-05-06 10:15:47.009535,139
218,86,2023-05-06 10:15:47.009535,184
219,8,2023-05-06 10:15:47.009535,132
220,35,2023-05-06 10:15:47.009535,138
221,54,2023-05-06 10:15:47.009535,90
222,4,2023-05-06 10:15:47.009535,165
223,3,2023-05-06 10:15:47.009535,241
224,83,2023-05-06 10:15:47.009535,104
225,97,2023-05-06 10:15:47.009535,216
226,6,2023-05-06 10:15:47.009535,197
227,47,2023-05-06 10:15:47.009535,88
228,63,2023-05-06 10:15:47.009535,292
229,47,2023-05-06 10:15:47.009535,87
230,4,2023-05-06 10:15:47.009535,102
231,56,2023-05-06 10:15:47.009535,80
232,70,2023-05-06 10:15:47.009535,77
233,57,2023-05-06 10:15:47.009535,150
234,91,2023-05-06 10:15:47.009535,271
235,73,2023-05-06 10:15:47.009535,166
236,52,2023-05-06 10:15:47.009535,65
237,9,2023-05-06 10:15:47.009535,275
238,93,2023-05-06 10:15:47.009535,47
239,28,2023-05-06 10:15:47.009535,288
240,7,2023-05-06 10:15:47.009535,280
241,67,2023-10-06 10:15:47.009726,289
242,86,2023-10-06 10:15:47.009726,269
243,63,2023-10-06 10:15:47.009726,207
244,44,2023-10-06 10:15:47.009726,64
245,100,2023-10-06 10:15:47.009726,92
246,86,2023-10-06 10:15:47.009726,212
247,42,2023-10-06 10:15:47.009726,134
248,15,2023-10-06 10:15:47.009726,280
249,99,2023-10-06 10:15:47.009726,82
250,41,2023-10-06 10:15:47.009726,246
251,92,2023-10-06 10:15:47.009726,275
252,38,2023-10-06 10:15:47.009726,192
253,80,2023-10-06 10:15:47.009726,96
254,69,2023-10-06 10:15:47.009726,220
255,87,2023-10-06 10:15:47.009726,300
256,34,2023-10-06 10:15:47.009726,80
257,36,2023-10-06 10:15:47.009726,239
258,49,2023-10-06 10:15:47.009726,91
259,12,2023-10-06 10:15:47.009726,198
260,61,2023-10-06 10:15:47.009726,124
261,12,2023-10-06 10:15:47.009726,43
262,86,2023-10-06 10:15:47.009726,79
263,86,2023-10-06 10:15:47.009726,133
264,65,2023-10-06 10:15:47.009726,226
265,58,2023-10-06 10:15:47.009726,249
266,92,2023-10-06 10:15:47.009726,54
267,83,2023-10-06 10:15:47.009726,154
268,43,2023-10-06 10:15:47.009726,168
269,16,2023-10-06 10:15:47.009726,218
270,41,2023-10-06 10:15:47.009726,133
271,2,2023-10-06 10:15:47.009726,168
272,4,2023-10-06 10:15:47.009726,41
273,2,2023-10-06 10:15:47.009726,185
274,26,2023-10-06 10:15:47.009726,252
275,71,2023-10-06 10:15:47.009726,223
276,73,2023-10-06 10:15:47.009726,182
277,99,2023-10-06 10:15:47.009726,283
278,99,2023-10-06 10:15:47.009726,181
279,32,2023-10-06 10:15:47.009726,284
280,71,2023-10-06 10:15:47.009726,237
281,53,2023-10-06 10:15:47.009726,100
282,46,2023-10-06 10:15:47.009726,174
283,61,2023-10-06 10:15:47.009726,156
284,41,2023-10-06 10:15:47.009726,75
285,91,2023-10-06 10:15:47.009726,69
286,77,2023-10-06 10:15:47.009726,191
287,80,2023-10-06 10:15:47.009726,44
288,65,2023-10-06 10:15:47.009726,296
289,29,2023-10-06 10:15:47.009726,124
290,61,2023-10-06 10:15:47.009726,267
291,91,2023-10-06 10:15:47.009726,196
292,15,2023-10-06 10:15:47.009726,273
293,41,2023-10-06 10:15:47.009726,277
294,98,2023-10-06 10:15:47.009726,183
295,46,2023-10-06 10:15:47.009726,230
296,22,2023-10-06 10:15:47.009726,222
297,20,2023-10-06 10:15:47.009726,297
298,40,2023-10-06 10:15:47.009726,83
299,55,2023-10-06 10:15:47.009726,41
300,96,2023-10-06 10:15:47.009726,242
301,56,2023-10-06 10:15:47.009726,256
302,49,2023-10-06 10:15:47.009726,260
303,66,2023-10-06 10:15:47.009726,286
304,67,2023-10-06 10:15:47.009726,178
305,87,2023-10-06 10:15:47.009726,83
306,76,2023-10-06 10:15:47.009726,104
307,36,2023-10-06 10:15:47.009726,97
308,62,2023-10-06 10:15:47.009726,130
309,77,2023-10-06 10:15:47.009726,88
310,43,2023-10-06 10:15:47.009726,95
311,31,2023-10-06 10:15:47.009726,157
312,58,2023-10-06 10:15:47.009726,297
313,98,2023-10-06 10:15:47.009726,64
314,24,2023-10-06 10:15:47.009726,64
315,68,2023-10-28 10:15:47.009998,202
316,78,2023-10-28 10:15:47.009998,77
317,87,2023-10-28 10:15:47.009998,102
318,6,2023-10-28 10:15:47.009998,297
319,97,2023-10-28 10:15:47.009998,151
320,68,2023-10-28 10:15:47.009998,294
321,14,2023-10-28 10:15:47.009998,175
322,15,2023-10-28 10:15:47.009998,200
323,69,2023-10-28 10:15:47.009998,168
324,33,2023-10-28 10:15:47.009998,293
325,51,2023-10-28 10:15:47.009998,283
326,90,2023-10-28 10:15:47.009998,165
327,92,2023-10-28 10:15:47.009998,178
328,64,2023-10-28 10:15:47.009998,298
329,51,2023-10-28 10:15:47.009998,250
330,64,2023-10-28 10:15:47.009998,119
331,49,2023-10-28 10:15:47.009998,208
332,15,2023-10-28 10:15:47.009998,205
333,4,2023-10-28 10:15:47.009998,185
334,4,2023-10-28 10:15:47.009998,113
335,76,2023-10-28 10:15:47.009998,37
336,12,2023-10-28 10:15:47.009998,97
337,57,2023-10-28 10:15:47.009998,111
338,63,2023-10-28 10:15:47.009998,93
339,76,2023-10-28 10:15:47.009998,268
340,88,2023-10-28 10:15:47.009998,285
341,8,2023-10-28 10:15:47.009998,191
342,48,2023-10-28 10:15:47.009998,294
343,87,2023-10-28 10:15:47.009998,32
344,33,2023-10-28 10:15:47.009998,222
345,15,2023-10-28 10:15:47.009998,231
346,67,2023-10-28 10:15:47.009998,66
347,98,2023-10-28 10:15:47.009998,213
348,71,2023-10-28 10:15:47.009998,282
349,81,2023-10-28 10:15:47.009998,142
350,46,2023-10-28 10:15:47.009998,291
351,14,2023-10-28 10:15:47.009998,280
352,99,2023-10-28 10:15:47.009998,153
353,70,2023-10-28 10:15:47.009998,176
