song_id,title,artist_id,release_date
1,Song_1,2,2021-10-15 10:15:47.006571
2,Song_2,45,2020-12-07 10:15:47.006588
3,Song_3,25,2022-07-11 10:15:47.006591
4,Song_4,25,2019-03-09 10:15:47.006593
5,Song_5,26,2019-09-07 10:15:47.006596
6,Song_6,27,2023-03-25 10:15:47.006598
7,Song_7,34,2023-01-07 10:15:47.006602
8,Song_8,18,2023-01-30 10:15:47.006604
9,Song_9,14,2020-05-21 10:15:47.006606
10,Song_10,1,2021-09-26 10:15:47.006609
11,Song_11,12,2023-02-28 10:15:47.006611
12,Song_12,50,2020-12-02 10:15:47.006614
13,Song_13,46,2019-07-01 10:15:47.006616
14,Song_14,36,2019-06-11 10:15:47.006618
15,Song_15,13,2023-01-23 10:15:47.006621
16,Song_16,1,2020-12-21 10:15:47.006623
17,Song_17,23,2021-03-16 10:15:47.006625
18,Song_18,6,2022-04-29 10:15:47.006628
19,Song_19,12,2020-11-04 10:15:47.006630
20,Song_20,7,2023-04-04 10:15:47.006632
21,Song_21,21,2022-07-17 10:15:47.006635
22,Song_22,1,2021-07-19 10:15:47.006637
23,Song_23,44,2020-07-01 10:15:47.006639
24,Song_24,23,2019-03-18 10:15:47.006642
25,Song_25,25,2019-12-09 10:15:47.006644
26,Song_26,21,2019-07-19 10:15:47.006647
27,Song_27,49,2022-07-18 10:15:47.006649
28,Song_28,48,2020-02-27 10:15:47.006651
29,Song_29,1,2022-07-06 10:15:47.006654
30,Song_30,50,2021-07-21 10:15:47.006656
31,Song_31,15,2020-10-24 10:15:47.006658
32,Song_32,11,2020-12-26 10:15:47.006661
33,Song_33,46,2021-09-15 10:15:47.006663
34,Song_34,43,2023-05-11 10:15:47.006665
35,Song_35,18,2019-09-16 10:15:47.006671
36,Song_36,26,2020-02-15 10:15:47.006674
37,Song_37,28,2019-12-03 10:15:47.006676
38,Song_38,31,2023-04-30 10:15:47.006679
39,Song_39,42,2019-01-08 10:15:47.006681
40,Song_40,22,2022-06-18 10:15:47.006683
41,Song_41,9,2023-01-11 10:15:47.006686
42,Song_42,45,2019-08-07 10:15:47.006688
43,Song_43,1,2021-04-20 10:15:47.006691
44,Song_44,26,2020-09-01 10:15:47.006693
45,Song_45,43,2023-01-05 10:15:47.006695
46,Song_46,38,2018-11-21 10:15:47.006697
47,Song_47,13,2020-06-12 10:15:47.006700
48,Song_48,14,2023-02-24 10:15:47.006702
49,Song_49,44,2020-04-26 10:15:47.006705
50,Song_50,19,2020-11-27 10:15:47.006707
51,Song_51,20,2019-10-14 10:15:47.006709
52,Song_52,31,2020-01-26 10:15:47.006711
53,Song_53,1,2022-11-27 10:15:47.006714
54,Song_54,2,2020-09-28 10:15:47.006716
55,Song_55,13,2020-08-25 10:15:47.006718
56,Song_56,12,2023-03-28 10:15:47.006721
57,Song_57,39,2023-05-30 10:15:47.006723
58,Song_58,31,2023-04-01 10:15:47.006726
59,Song_59,17,2019-07-12 10:15:47.006728
60,Song_60,50,2023-09-09 10:15:47.006731
61,Song_61,24,2021-10-20 10:15:47.006733
62,Song_62,15,2021-01-11 10:15:47.006735
63,Song_63,17,2019-10-19 10:15:47.006737
64,Song_64,32,2023-10-25 10:15:47.006739
65,Song_65,17,2021-09-09 10:15:47.006742
66,Song_66,4,2022-08-16 10:15:47.006744
67,Song_67,30,2021-07-08 10:15:47.006746
68,Song_68,50,2022-01-19 10:15:47.006749
69,Song_69,5,2020-07-05 10:15:47.006751
70,Song_70,32,2022-07-12 10:15:47.006753
71,Song_71,33,2020-02-22 10:15:47.006756
72,Song_72,47,2020-02-28 10:15:47.006758
73,Song_73,3,2020-12-08 10:15:47.006760
74,Song_74,33,2021-01-25 10:15:47.006763
75,Song_75,6,2021-09-23 10:15:47.006765
76,Song_76,38,2021-08-31 10:15:47.006768
77,Song_77,26,2020-02-02 10:15:47.006770
78,Song_78,28,2019-08-27 10:15:47.006772
79,Song_79,36,2023-05-13 10:15:47.006774
80,Song_80,30,2020-06-02 10:15:47.006777
81,Song_81,16,2020-11-10 10:15:47.006779
82,Song_82,14,2022-07-01 10:15:47.006782
83,Song_83,36,2021-07-05 10:15:47.006784
84,Song_84,4,2021-05-07 10:15:47.006786
85,Song_85,39,2020-09-04 10:15:47.006788
86,Song_86,43,2022-12-15 10:15:47.006791
87,Song_87,34,2019-12-20 10:15:47.006793
88,Song_88,33,2019-06-02 10:15:47.006795
89,Song_89,33,2023-07-24 10:15:47.006798
90,Song_90,1,2019-05-10 10:15:47.006800
91,Song_91,46,2019-12-08 10:15:47.006802
92,Song_92,33,2019-05-21 10:15:47.006805
93,Song_93,37,2022-04-30 10:15:47.006807
94,Song_94,35,2023-11-09 10:15:47.006810
95,Song_95,10,2022-10-12 10:15:47.006812
96,Song_96,47,2019-03-11 10:15:47.006814
97,Song_97,30,2021-07-28 10:15:47.006817
98,Song_98,27,2021-02-24 10:15:47.006819
99,Song_99,6,2022-08-26 10:15:47.006821
100,Song_100,28,2021-08-17 10:15:47.006824
